model,mae,rmse,mape
ExponentialSmoothing,21.54476446096531,26.375781219119297,5.114158451100389
ARIMA,38.19590399007754,49.92170368592249,8.19435525856803
RandomForestModel,55.48652777777777,66.23810448236473,13.003013499115658
NaiveSeasonal(K=12),60.083333333333336,73.61215932167728,13.189432350948401
