model,mae,rmse,mape
NaiveSeasonal(K=24),0.20953749999993457,0.302742366175779,104.67500803896797
NaiveSeasonal(K=168),0.2100680555555275,0.29773063655667614,118.2922938246071
RandomForestModel + time covariates,0.22876555686728883,0.2677220699999333,167.93728195747585
RandomForestModel,0.26613591898150124,0.29916262035852925,196.8520712767963
ExponentialSmoothing(seasonal=24),0.30611876541201,0.3358725584131124,225.5003274610543
